
0it [00:00, ?it/s]
1449it [00:32, 10.22it/s, bound:0 nc: 11 ncall:1.4e+04 eff:10.2% logz=25.16+/-0.14 dlogz:14.206>0.1]
1451it [00:32,  7.62it/s, bound:0 nc:115 ncall:1.4e+04 eff:10.1% logz=25.18+/-0.14 dlogz:14.178>0.1]
1453it [00:33,  8.04it/s, bound:0 nc: 45 ncall:1.4e+04 eff:10.1% logz=25.21+/-0.14 dlogz:14.149>0.1]
1455it [00:43,  1.62s/it, bound:1 nc:489 ncall:1.5e+04 eff:9.7% logz=25.23+/-0.14 dlogz:14.120>0.1] 
1458it [00:43,  1.02s/it, bound:4 nc:  1 ncall:1.6e+04 eff:10.3% logz=30.01+/-0.16 dlogz:8.371>0.1]
1463it [00:53,  1.44s/it, bound:9 nc:467 ncall:1.9e+04 eff:7.8% logz=25.33+/-0.14 dlogz:13.999>0.1]
1467it [00:53,  1.06it/s, bound:13 nc:  1 ncall:2.1e+04 eff:8.8% logz=34.30+/-0.20 dlogz:2.810>0.1]
1471it [01:03,  1.43s/it, bound:17 nc:468 ncall:2.3e+04 eff:6.5% logz=25.43+/-0.14 dlogz:13.879>0.1]
1475it [01:03,  1.03it/s, bound:21 nc:467 ncall:2.4e+04 eff:6.0% logz=25.48+/-0.14 dlogz:13.820>0.1]
1479it [01:13,  1.48s/it, bound:25 nc:453 ncall:2.6e+04 eff:5.6% logz=25.53+/-0.14 dlogz:13.760>0.1]
1482it [01:13,  1.11s/it, bound:28 nc:  1 ncall:2.8e+04 eff:6.6% logz=33.44+/-0.20 dlogz:4.007>0.1] 
1487it [01:22,  1.37s/it, bound:33 nc:456 ncall:3.0e+04 eff:5.0% logz=25.63+/-0.14 dlogz:13.636>0.1]
1491it [01:22,  1.04it/s, bound:37 nc:  1 ncall:3.2e+04 eff:5.3% logz=29.01+/-0.16 dlogz:9.606>0.1] 
1495it [01:31,  1.35s/it, bound:41 nc:450 ncall:3.4e+04 eff:4.5% logz=25.74+/-0.14 dlogz:13.514>0.1]
1500it [01:31,  1.13it/s, bound:46 nc:  1 ncall:3.6e+04 eff:4.4% logz=26.72+/-0.15 dlogz:12.338>0.1]
1503it [01:40,  1.38s/it, bound:49 nc:451 ncall:3.7e+04 eff:4.0% logz=25.84+/-0.14 dlogz:13.394>0.1]
1511it [01:50,  1.30s/it, bound:57 nc:461 ncall:4.1e+04 eff:3.7% logz=25.95+/-0.14 dlogz:13.258>0.1]
1515it [01:50,  1.02it/s, bound:61 nc:464 ncall:4.3e+04 eff:3.6% logz=26.01+/-0.14 dlogz:13.191>0.1]
1519it [01:59,  1.34s/it, bound:65 nc:449 ncall:4.4e+04 eff:3.4% logz=26.07+/-0.14 dlogz:13.125>0.1]
1524it [02:00,  1.09it/s, bound:70 nc:449 ncall:4.7e+04 eff:3.3% logz=26.13+/-0.14 dlogz:13.044>0.1]
